isogroup	scaffold	start	end	annotation	lg	cM
isogroup=4202	c1163491	161162	158303	Proteins containing BTB/POZ and Kelch domains, involved in regulatory/signal transduction processes ; kelch-like protein 18 E=1e-58	13	1278.691
isogroup=4203	c2473936	240952	240478	Protease, Ulp1 family ; integrator complex subunit 10 E=3e-124	8	795.597
isogroup=4200	c1237576	462077	462661	M13 family peptidase ; membrane metallo-endopeptidase-like 1 E=2e-163	11	1096.747
isogroup=4201	c151167	242043	243918	Protein involved in maintenance of Golgi structure and ER-Golgi transport	13	1258.191
isogroup=40157	c1807228	345459	345819	NA	14	1419.041
isogroup=4204	c2433253	72569	71632	Acyl-CoA synthetase ; acetyl-CoA synthetase [EC:6.2.1.1] E=2e-142	13	1243.39
isogroup=40151	c2441680	392742	393045	NA	4	385.003
isogroup=40150	c2126668	285797	286156	NA	12	1142.985
isogroup=24027	c1949539	37141	37941	NA	1	33.836
isogroup=4206	c1112596	8430	8864	Hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase ; enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.211] E=9e-117	3	242.558
isogroup=13478	c1401140	112765	111525	Predicted inosine-uridine preferring nucleoside hydrolase ; pyrimidine-specific ribonucleoside hydrolase [EC:3.2.-.-] E=2e-165	3	292.662
isogroup=33009	c2064951	75712	75352	NA	13	1288.19
isogroup=33005	c863073	16835	17310	Alpha-macroglobulin ; NACHT, LRR and PYD domains-containing protein 3 E=1e-89	5	494.287
isogroup=33002	c1217446	379177	379658	NA	1	45.468
isogroup=33001	c1257681	101517	101119	NA	7	708.616
isogroup=40159	c1401140	261283	261643	NA	3	292.662
isogroup=42748	c666183	357145	356820	NA	11	1025.389
isogroup=42749	c1721495	98021	97867	Glutamate-gated kainate-type ion channel receptor subunit GluR5 and related subunits ; glutamate receptor, ionotropic, invertebrate E=1e-16	9	863.349
isogroup=42741	c1509835	112261	112593	NA	1	94.552
isogroup=42742	c2407255	617945	618195	NA	3	306.022
isogroup=42744	c1932090	310685	310357	NA	8	734.105
isogroup=42745	c1480326	29117	29448	NA	14	1414.614
isogroup=42746	c1951106	397220	397022	NA	1	20.068
isogroup=5558	c2298829	300313	298206	NA	6	533.637
isogroup=5554	c1885556	154572	156147	Decapping enzyme complex, predicted pyrophosphatase DCP2	1	50.639
isogroup=5556	c1266910	36168	37596	Ca2+-modulated nonselective cation channel polycystin	5	464.077
isogroup=5551	c1960086	100756	102046	Myosin-like coiled-coil protein	4	355.971
isogroup=5553	c1814209	174532	175069	Asparaginase ; 60kDa lysophospholipase [EC:3.1.1.5 3.1.1.47 3.5.1.1] E=8e-37	13	1224.276
isogroup=5552	c2438805	2702	4214	Serine/threonine protein kinase	12	1133.26
isogroup=1072	c1730470	391231	392756	Nuclear localization sequence binding protein ; translation machinery-associated protein 16 E=8e-92	9	915.231
isogroup=1073	c2094412	82163	83743	Phosphoinositide-specific phospholipase C ; phospholipase C, delta [EC:3.1.4.11] E=8e-88	6	603.44
isogroup=1070	c2430742	346524	345934	RNA polymerase II, large subunit ; DNA-directed RNA polymerase II subunit RPB1 [EC:2.7.7.6] E=2e-144	11	1070.842
isogroup=1071	c2168192	164147	162837	NA	13	1317.2
isogroup=1076	c1230921	220611	218423	Ubiquitin C-terminal hydrolase ; ubiquitin carboxyl-terminal hydrolase 4/11/15 [EC:3.1.2.15] E=1e-49	11	1036.407
isogroup=1077	c2373953	114313	115898	WD40 repeat-containing protein ; pre-mRNA-processing factor 19 [EC:6.3.2.19] E=2e-12	13	1321.25
isogroup=1074	c2150838	291476	290242	L-fucose kinase ; fucokinase [EC:2.7.1.52] E=5e-170	6	548.91
isogroup=1075	c86145	67164	68680	NA	6	541.745
isogroup=41208	c1400461	99776	99428	NA	11	1038.521
isogroup=1078	c1230921	380941	383220	Predicted pyridoxal-dependent decarboxylase	11	1030.421
isogroup=1079	c1605889	675005	673350	NA	4	379.539
isogroup=45911	c1899612	9785	9917	NA	8	814.07
isogroup=45913	c2171061	174315	174615	NA	3	255.968
isogroup=45914	c2407255	604217	603914	NA	3	306.022
isogroup=45916	c986684	229203	229393	NA	10	928.247
isogroup=45917	c1470819	160896	161057	NA	1	86.15
isogroup=45919	c2477599	190084	189882	NA	8	791.199
isogroup=39381	c2396761	46912	47277	NA	6	631.375
isogroup=12705	c1378457	213604	213887	C-type lectin ; nucleotide exchange factor SIL1 E=1e-28	14	1366.966
isogroup=12704	c2050722	133797	132991	Predicted L-carnitine dehydratase/alpha-methylacyl-CoA racemase ; alpha-methylacyl-CoA racemase [EC:5.1.99.4] E=3e-177	1	17.676
isogroup=12700	c455742	17544	19020	Kynurenine formamidase ; arylformamidase [EC:3.5.1.9] E=4e-158	4	389.89
isogroup=12702	c1716477	261063	262628	NA	9	846.621
isogroup=44350	c1463175	7130	7447	NA	5	459.447
isogroup=44353	c1048972	150545	150347	Transcription factor PRD and related proteins, contain PAX and HOX domains ; paired box protein 2/5 E=6e-26	5	458.223
isogroup=44352	c1353965	59310	58995	NA	2	119.169
isogroup=44359	c212034	116116	116273	NA	7	713.768
isogroup=44358	c1641688	151293	150986	FOG: 7 transmembrane receptor ; neuropeptide Y receptor, invertebrate E=6e-17	11	1045.154
isogroup=18349	c1273898	189899	190941	NA	12	1188.981
isogroup=33918	c1515463	424453	424888	NA	12	1210.888
isogroup=33917	c1098852	192384	192131	Natriuretic peptide receptor, guanylate cyclase	14	1382.866
isogroup=33916	c2512412	637567	638027	NA	2	210.965
isogroup=13474	c1021649	247042	248248	NA	9	857.252
isogroup=33006	c2438112	308770	309251	NA	2	204.633
isogroup=31515	c2079967	294916	294397	FOG: 7 transmembrane receptor ; 5-hydroxytryptamine receptor 7 E=1e-12	2	126.378
isogroup=31514	c1895421	38022	38550	NA	12	1191.765
isogroup=31511	c1891549	473631	473114	NA	3	306.592
isogroup=31510	c1235448	110716	110926	Fibroblast growth factor ; fibroblast growth factor E=1e-12	3	235.592
isogroup=31519	c1879596	117112	117275	fibroblast growth factor receptor 1 [EC:2.7.10.1] E=2e-55	1	87.971
isogroup=31518	c1803350	79462	79216	NA	1	35.667
isogroup=2526	c1625311	35101	37248	Protein phosphatase 1B (formerly 2C) ; protein phosphatase 2C homolog 2/3 [EC:3.1.3.16] E=2e-54	13	1272.529
isogroup=2520	c2079967	57967	58982	arachidonate 5-lipoxygenase [EC:1.13.11.34] E=2e-115	2	117.298
isogroup=2523	c1321846	224122	225865	Rb (Retinoblastoma tumor suppressor)-related protein ; retinoblastoma-like E=2e-19	8	804.466
isogroup=31897	c2298829	302190	302699	NA	6	533.637
isogroup=45008	c1345881	86330	86045	NA	3	294.939
isogroup=45007	c1585541	115372	115666	Voltage-gated shaker-like K+ channel KCNA ; potassium voltage-gated channel Shaker-related subfamily A member 1 E=2e-27	5	532.637
isogroup=45004	c1888154	284330	284618	NA	13	1320.942
isogroup=45003	c1605889	398210	397901	NA	4	375.252
isogroup=45001	c2338037	1263	1451	FOG: Immunoglobulin C-2 Type/fibronectin type III domains ; protein tyrosine phosphatase, receptor type, D [EC:3.1.3.48] E=2e-53	14	1431.236
isogroup=46269	c537298	189562	189315	NA	4	357.832
isogroup=46268	c1122836	410608	410387	FOG: Immunoglobin and related proteins	8	739.318
isogroup=46262	c695596	37066	37360	NA	1	37.521
isogroup=46261	c1057753	109535	109257	NA	5	488.951
isogroup=46266	c1803350	112339	112094	NA	1	35.667
isogroup=40636	c1365064	82528	82765	GABA receptor	5	446.041
isogroup=40634	c1889019	14989	15252	NA	8	779.377
isogroup=40631	c2445836	181238	181566	NA	6	619.19
isogroup=42259	c2501742	26055	26182	Prolyl 4-hydroxylase alpha subunit	6	584.849
isogroup=32653	c1506025	157166	157655	NA	6	588.09
isogroup=40639	c651360	12273	12627	NA	1	65.541
isogroup=9322	c495563	49807	49993	Predicted membrane protein	10	924.335
isogroup=9323	c1334554	434214	434448	Syntrophins (type gamma) ; discs large protein E=2e-09	9	906.657
isogroup=9320	c2516308	173312	174362	Reductases with broad range of substrate specificities ; citronellol/citronellal dehydrogenase E=2e-13	6	553.903
