lg	variant	cM
1	c486289_87218	0.0
1	c929851_18032	1.107
1	c1808549_289857	4.875
1	c995427_203870	5.836
1	c1808549_150350	6.049
1	c594145_60523	7.211
1	c1808549_35103	7.589
1	c2186193_369871	8.328
1	c1808549_289877	9.229
1	c1808549_124428	9.448
1	c594145_11596	11.39
1	c1210516_212297	14.667
1	c1210516_109623	15.912
1	c1210516_58542	16.859
1	c1470819_187333	17.912
1	c1210516_212286	18.058
1	c1808549_125585	19.79
1	c1509835_37207	21.568
1	c1509835_37208	21.568
1	c1879596_90520	22.174
1	c2034620_97756	23.304
1	c1527580_262795	23.675
1	c1470819_169097	24.145
1	c892540_7633	25.623
1	c1527580_252981	26.481
1	c1210516_212311	26.752
1	c1251121_9082	27.338
1	c1244560_225469	27.728
1	c2478899_259844	28.045
1	c2478899_58837	28.255
1	c1251121_78780	28.312
1	c1527580_98965	28.746
1	c2478899_126053	29.041
1	c2478899_204564	29.107
1	c1244560_154455	30.149
1	c1251121_75418	30.941
1	c63475_140352	31.335
1	c63475_140347	31.335
1	c1609271_9770	31.555
1	c892540_14439	32.097
1	c2478899_259849	32.163
1	c1251121_260210	33.277
1	c1186919_228880	33.464
1	c1609271_3879	33.575
1	c2478899_220048	33.868
1	c1186919_188031	34.483
1	c1186919_19632	35.871
1	c63475_75541	36.95
1	c1276264_41583	39.847
1	c63475_471112	40.2
1	c63475_414259	40.767
1	c1272401_170437	41.181
1	c63475_426958	41.88
1	c2104237_24907	41.918
1	c1320377_45618	42.289
1	c1276264_96756	42.566
1	c1398227_472534	42.879
1	c2038744_199348	43.107
1	c2038744_245482	43.483
1	c2038744_354738	43.864
1	c651360_69430	44.626
1	c2104237_279409	45.589
1	c2104237_23426	46.153
1	c2038744_90500	47.22
1	c2104237_362335	47.606
1	c1617293_267398	47.922
1	c2104237_392354	48.621
1	c605911_11288	49.052
1	c1271929_102424	50.941
1	c1271929_102446	51.023
1	c1399206_61627	51.164
1	c1617293_351706	52.055
1	c1451269_76429	52.168
1	c2430742_127170	52.268
1	c1240150_95123	52.356
1	c1451269_115163	53.021
1	c2430742_152033	53.737
1	c2303909_109213	53.982
1	c2430742_156857	54.106
1	c2430742_156836	54.315
1	c1576098_39117	54.498
1	c1451269_47835	55.135
1	c147367_91718	55.258
1	c1594382_87162	55.597
1	c1451269_47823	55.99
1	c2430742_117642	56.842
1	c2326104_479853	58.408
1	c882547_162940	59.155
1	c1027048_104826	59.945
1	c1885556_161036	59.968
1	c882547_166446	60.733
1	c882547_204281	61.001
1	c346136_50894	61.654
1	c346136_50891	61.654
1	c882547_17222	61.705
